0.05234	0.05417	0.0575	0.0305	0.04647	0.02753	0.01997	0.00775	0.01172	0.02564	0.00611	0.00455
0.05537	0.05756	0.06113	0.03287	0.04966	0.02931	0.02187	0.00814	0.01235	0.02679	0.00643	0.00485
0.05847	0.06117	0.06498	0.03551	0.05298	0.03113	0.02397	0.00854	0.01302	0.0281	0.00686	0.00581
0.06174	0.06495	0.06897	0.03822	0.05638	0.03318	0.02613	0.00897	0.01375	0.02954	0.00732	0.00634
0.06509	0.06889	0.07318	0.04103	0.06007	0.03532	0.02838	0.00944	0.01463	0.03108	0.00779	0.00721
0.06864	0.07307	0.07749	0.04413	0.06391	0.03752	0.03084	0.01002	0.01553	0.03259	0.00829	0.00787
0.0723	0.07739	0.08198	0.04731	0.06787	0.03971	0.03337	0.01052	0.01643	0.03413	0.00882	0.00918
0.07605	0.08195	0.08674	0.05061	0.07207	0.04195	0.03588	0.01106	0.01745	0.03582	0.00936	0.01058
0.08003	0.08664	0.09171	0.05422	0.0764	0.04427	0.03867	0.01168	0.01854	0.03759	0.00989	0.0118
0.08434	0.09152	0.09684	0.05798	0.08082	0.0466	0.04151	0.0124	0.01972	0.03949	0.01057	0.01342
0.08884	0.09658	0.1022	0.06181	0.08546	0.049	0.04442	0.01323	0.02101	0.04141	0.01129	0.01464
0.09377	0.10169	0.10751	0.06599	0.09023	0.05144	0.04764	0.01405	0.02226	0.04346	0.01196	0.01652
0.09895	0.1069	0.11316	0.0702	0.09511	0.05397	0.05097	0.01503	0.02349	0.04551	0.01268	0.01792
0.10426	0.11213	0.11905	0.07453	0.10022	0.05659	0.05441	0.016	0.02473	0.04769	0.01346	0.02011
0.10974	0.11729	0.12506	0.07927	0.10545	0.05925	0.05816	0.01701	0.02607	0.04995	0.01429	0.02164
0.11516	0.12249	0.13116	0.08405	0.11083	0.06208	0.06196	0.01809	0.02747	0.05218	0.01511	0.02356
0.12058	0.12809	0.13757	0.0889	0.11639	0.06498	0.06589	0.0191	0.02893	0.05454	0.016	0.02531
0.12612	0.13371	0.14403	0.09416	0.12205	0.06791	0.07013	0.02004	0.03045	0.05677	0.01686	0.02706
0.13165	0.13931	0.15075	0.09944	0.12783	0.07094	0.07447	0.02097	0.03196	0.05936	0.01782	0.0289
